audio_name,transcription
clip_10384.wav,رد البال
clip_11546.wav,معندي تا معلومة علي هادشي
clip_10000.wav,باراكا من الهضرة
clip_11863.wav,العالم دار واحد الاكتشاف هربان
clip_4994.wav,حيت غادي تسافر فالساعة ديال الزحام
clip_6052.wav,عظيم اللعبة ديال بينڭو
clip_2798.wav,بغيتيني نكون جيمس
clip_11080.wav,شحال من خواتات عندك
clip_6620.wav,منين نتي
clip_12428.wav,عقلتي ملي كنا كنضاربو ونزربو فالشقا ديال الدار باش نشوفو شكون لي غيسالي التقة ديال الدار اللول
clip_4724.wav,الرجال كتلعب شوية
clip_12548.wav,تقدر تعبر ليا هاد الخضرا
clip_4327.wav,واش شوية د الماساج غيعاونك
clip_4636.wav,ما كيبانش ليا غيكون عندي حتي وقت خاص بيا
clip_12642.wav,البيت جا بسباب الفرقة كلها
clip_4048.wav,غادي نحتاج بزاف ديال لماء باش ندوز كاع هاد البطاطا
clip_4905.wav,كتفكرني برحلاتي في البرازيل
clip_10346.wav,متشرفين
clip_4687.wav,نجيب ليك معايا شي لعيبة
clip_11778.wav,بغيت شي عايلة كبيرة فرحانة
clip_10959.wav,الله يسعد الصباح
clip_11143.wav,فين غادية
clip_12598.wav,كيفاش ديما كتفرحني ملي كنكون عيانة
clip_6378.wav,انا كنجي هنا كل نهار داكشي علاش تقدر تكون شفتيني
clip_10669.wav,شهر واحد
clip_11773.wav,شميت ريحة معيقة ديال التومة في الطياب
clip_4758.wav,هادشي خايب غادي نديروها بلا بيهم
clip_12579.wav,خلينا نبلانيو شي سفر لشي بلاصة معمرنا مشفناها
clip_11732.wav,هادي فكرة مزيانة
clip_11659.wav,وقتلني الملل فالخدمة اليوم
clip_4703.wav,راهم سكرانين ديال بصح كنقتارح انك تبعد
clip_10926.wav,بلان
clip_6597.wav,اودي غادي يكون هذا برميل د الضحك كاينة
clip_4986.wav,غادي تكون فرحانة بزاف
clip_11509.wav,سمح ليا مسمعتكش
clip_10262.wav,اهلا
clip_11127.wav,واش ممكن تعاودي عافاك
clip_10500.wav,ما كاين باس
clip_10013.wav,معاه
clip_4454.wav,عزيز عليا الحمير بزاف
clip_6798.wav,واش كاين شي جامع قريب
clip_11016.wav,انا مريضة
clip_12449.wav,جاهز للويكاند
clip_10009.wav,معاهم
clip_4034.wav,كيبان مزيان
clip_11519.wav,واش عندك هاد البرودوي في السطوك
clip_10344.wav,الحمد لله
clip_11285.wav,كيدق ويقول شكون
clip_11722.wav,وناري شحال همجيين مع الحيوان
clip_10465.wav,منتشر بزاف
